year,quarter,cusip_no,has_listed_options,issuer_name,issuer_description,status,cusip_6,cusip_2,cusip_1,cusip_8,cusip_9
2018,4,33734X 90 2,,FIRST TR EXCHANGE TRADED FD,CALL,,33734X,90,2,33734X90,33734X902
2018,4,98954M 20 0,*,ZILLOW GROUP INC,CL C CAP STK,,98954M,20,0,98954M20,98954M200
2018,4,518416 70 6,,LATTICE STRATEGIES TR,HARTFORD MULTI,,518416,70,6,51841670,518416706
2018,4,35471R 90 6,,FRANKLIN STREET PPTYS CORP,CALL,,35471R,90,6,35471R90,35471R906
2018,4,043436 10 4,*,ASBURY AUTOMOTIVE GROUP INC,COM,,043436,10,4,04343610,043436104
2018,4,91288X 90 9,,UNITED STS 12 MONTH NAT GAS,CALL,,91288X,90,9,91288X90,91288X909
2018,4,09254C 10 7,,BLACKROCK MUNIHLDNGS QLTY II,COM,,09254C,10,7,09254C10,09254C107
2018,4,G8807B 90 6,,THERAVANCE BIOPHARMA INC,CALL,,G8807B,90,6,G8807B90,G8807B906
2018,4,97717W 90 1,,WISDOMTREE TR,CALL,,97717W,90,1,97717W90,97717W901
2018,4,362397 10 1,,GABELLI EQUITY TR INC,COM,,362397,10,1,36239710,362397101
2018,4,150837 17 7,,CEL SCI CORP,*W EXP 10/11/201,DELETED,150837,17,7,15083717,150837177
2018,4,921935 70 6,,VANGUARD WELLINGTON FD,US QUALITY,,921935,70,6,92193570,921935706
2018,4,81211K 90 0,,SEALED AIR CORP NEW,CALL,,81211K,90,0,81211K90,81211K900
2018,4,043436 90 4,,ASBURY AUTOMOTIVE GROUP INC,CALL,,043436,90,4,04343690,043436904
2018,4,45667G AC 7,,INFINERA CORPORATION,NOTE  2.125% 9/0,,45667G,AC,7,45667GAC,45667GAC7
2018,4,573331 90 5,,MARTIN MIDSTREAM PRTNRS L P,CALL,,573331,90,5,57333190,573331905
2018,4,65473P 90 5,,NISOURCE INC,CALL,,65473P,90,5,65473P90,65473P905
2018,4,296056 10 4,*,ESCALADE INC,COM,,296056,10,4,29605610,296056104
